"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000352;0,335354;2,48889;17.600;-30,8105;-60
0,000353;0,335354;2,47677;17.650;-25,646;-60
0,000354;0,339394;2,47677;17.700;-34,6968;-60
0,000355;0,339394;2,48485;17.750;-59,8069;-60
0,000356;0,335354;2,48081;17.800;-60;-60
0,000357;0,335354;2,48081;17.850;-60;-60
0,000358;0,339394;2,48081;17.900;-60;-60
0,000359;0,331313;2,48081;17.950;-60;-60
0,00036;0,339394;2,47677;18.000;-60;-60
0,000361;0,343434;2,48485;18.050;-59,6648;-60
0,000362;0,339394;2,48081;18.100;-35,3533;-60
0,000363;0,335354;2,49293;18.150;-33,0641;-60
0,000364;0,335354;2,48485;18.200;-45,6348;-60
0,000365;0,327273;2,48485;18.250;-60;-60
0,000366;0,339394;2,48081;18.300;-60;-60
0,000367;0,343434;2,48889;18.350;-60;-60
0,000368;0,339394;2,48485;18.400;-60;-60
0,000369;0,335354;2,47677;18.450;-60;-60
0,00037;0,335354;2,47677;18.500;-60;-60
0,000371;0,331313;2,48081;18.550;-44,2448;-60
0,000372;0,335354;2,48889;18.600;-27,1929;-60
0,000373;0,327273;2,47677;18.650;-27,6108;-60
0,000374;0,331313;2,47273;18.700;-44,7937;-60
0,000375;0,331313;2,48081;18.750;-60;-60
0,000376;0,343434;2,48485;18.800;-60;-60
0,000377;0,335354;2,48081;18.850;-60;-60
0,000378;0,339394;2,47677;18.900;-60;-60
0,000379;0,335354;2,48485;18.950;-60;-60
0,00038;0,327273;2,48081;19.000;-60;-60
0,000381;0,339394;2,48081;19.050;-47,4766;-60
0,000382;0,335354;2,48081;19.100;-34,3261;-60
0,000383;0,343434;2,47273;19.150;-37,8763;-60
0,000384;0,339394;2,48485;19.200;-58,8828;-60
0,000385;0,331313;2,47273;19.250;-60;-60
0,000386;0,343434;2,48081;19.300;-60;-60
0,000387;0,331313;2,47273;19.350;-60;-60
0,000388;0,335354;2,48081;19.400;-60;-60
0,000389;0,339394;2,48081;19.450;-60;-60
0,00039;0,343434;2,48889;19.500;-60;-60
0,000391;0,335354;2,48485;19.550;-34,6202;-60
0,000392;0,339394;2,48485;19.600;-25,9645;-60
0,000393;0,339394;2,48485;19.650;-31,9589;-60
0,000394;0,339394;2,46869;19.700;-60;-60
0,000395;0,331313;2,47677;19.750;-60;-60
0,000396;0,327273;2,48485;19.800;-60;-60
0,000397;0,339394;2,48081;19.850;-60;-60
0,000398;0,339394;2,48485;19.900;-60;-60
0,000399;0,335354;2,48889;19.950;-60;-60
0,0004;0,335354;2,48485;20.000;-60;-60
0,000401;0,339394;2,48081;20.050;-41,8538;-60
0,000402;0,339394;2,47677;20.100;-35,7753;-60
0,000403;0,335354;2,48081;20.150;-45,7171;-60
0,000404;0,335354;2,48081;20.200;-60;-60
0,000405;0,335354;2,48485;20.250;-60;-60
0,000406;0,339394;2,48081;20.300;-60;-60
0,000407;0,355556;2,47677;20.350;-60;-60
0,000408;0,323232;2,47677;20.400;-60;-60
0,000409;0,331313;2,48081;20.450;-60;-60
0,00041;0,331313;2,46869;20.500;-53,3795;-60
0,000411;0,327273;2,47273;20.550;-29,4377;-60
0,000412;0,335354;2,46869;20.600;-26,8896;-60
0,000413;0,339394;2,47273;20.650;-39,5412;-60
0,000414;0,331313;2,48485;20.700;-60;-60
0,000415;0,327273;2,48081;20.750;-60;-60
0,000416;0,335354;2,48081;20.800;-60;-60
0,000417;0,335354;2,47677;20.850;-60;-60
0,000418;0,327273;2,49293;20.900;-60;-60
0,000419;0,339394;2,47677;20.950;-60;-60
0,00042;0,331313;2,47677;21.000;-55,2021;-60
0,000421;0,335354;2,47677;21.050;-40,071;-60
0,000422;0,351515;2,48485;21.100;-39,7796;-60
0,000423;0,339394;2,48889;21.150;-59,0124;-60
0,000424;0,343434;2,48081;21.200;-60;-60
0,000425;0,339394;2,48081;21.250;-60;-60
0,000426;0,335354;2,49293;21.300;-60;-60
0,000427;0,327273;2,48485;21.350;-60;-60
0,000428;0,335354;2,47677;21.400;-60;-60
0,000429;0,335354;2,48081;21.450;-60;-60
0,00043;0,335354;2,47677;21.500;-39,7346;-60
0,000431;0,327273;2,48485;21.550;-26,9668;-60
0,000432;0,323232;2,49293;21.600;-30,0577;-60
0,000433;0,335354;2,47677;21.650;-52,8288;-60
0,000434;0,335354;2,48485;21.700;-60;-60
0,000435;0,335354;2,48889;21.750;-60;-60
0,000436;0,331313;2,48081;21.800;-60;-60
0,000437;0,323232;2,47677;21.850;-60;-60
0,000438;0,327273;2,48485;21.900;-60;-60
0,000439;0,335354;2,47677;21.950;-60;-60
0,00044;0,331313;2,49293;22.000;-49,7494;-60
0,000441;0,335354;2,48485;22.050;-41,1664;-60
0,000442;0,339394;2,49293;22.100;-46,877;-60
0,000443;0,335354;2,47677;22.150;-60;-60
0,000444;0,327273;2,49697;22.200;-60;-60
0,000445;0,335354;2,48081;22.250;-60;-60
0,000446;0,327273;2,48889;22.300;-60;-60
0,000447;0,335354;2,48081;22.350;-60;-60
0,000448;0,351515;2,48081;22.400;-60;-60
0,000449;0,339394;2,48889;22.450;-60;-60
0,00045;0,335354;2,48081;22.500;-32,605;-60
0,000451;0,335354;2,48485;22.550;-26,7453;-60
0,000452;0,335354;2,47677;22.600;-35,9904;-60
0,000453;0,335354;2,48485;22.650;-60;-60
0,000454;0,335354;2,48889;22.700;-60;-60
0,000455;0,331313;2,47677;22.750;-60;-60
0,000456;0,347475;2,48485;22.800;-60;-60
0,000457;0,335354;2,48485;22.850;-60;-60
0,000458;0,335354;2,48485;22.900;-60;-60
0,000459;0,335354;2,48485;22.950;-60;-60
0,00046;0,335354;2,48889;23.000;-48,4856;-60
0,000461;0,339394;2,48081;23.050;-45,2133;-60
0,000462;0,331313;2,49697;23.100;-59,2247;-60
0,000463;0,339394;2,48081;23.150;-60;-60
0,000464;0,327273;2,48889;23.200;-60;-60
0,000465;0,331313;2,48889;23.250;-60;-60
0,000466;0,335354;2,49697;23.300;-60;-60
0,000467;0,323232;2,47677;23.350;-60;-60
0,000468;0,335354;2,48889;23.400;-60;-60
0,000469;0,331313;2,49697;23.450;-45,5358;-60
0,00047;0,327273;2,48485;23.500;-28,8176;-60
0,000471;0,343434;2,49697;23.550;-28,7022;-60
0,000472;0,327273;2,48081;23.600;-46,2705;-60
0,000473;0,343434;2,48889;23.650;-60;-60
0,000474;0,335354;2,49293;23.700;-60;-60
0,000475;0,335354;2,49293;23.750;-60;-60
0,000476;0,331313;2,49697;23.800;-60;-60
0,000477;0,327273;2,48081;23.850;-60;-60
0,000478;0,339394;2,49697;23.900;-60;-60
0,000479;0,327273;2,49293;23.950;-59,9552;-60
0,00048;0,339394;2,47273;24.000;-52,4956;-60
0,000481;0,327273;2,48485;24.050;-53,0546;-60
0,000482;0,327273;2,47677;24.100;-60;-60
0,000483;0,327273;2,48081;24.150;-60;-60
0,000484;0,327273;2,48081;24.200;-60;-60
0,000485;0,327273;2,47273;24.250;-60;-60
0,000486;0,331313;2,48485;24.300;-60;-60
0,000487;0,343434;2,48081;24.350;-60;-60
0,000488;0,335354;2,48081;24.400;-60;-60
0,000489;0,327273;2,49293;24.450;-36,4338;-60
0,00049;0,335354;2,47677;24.500;-27,4545;-60
0,000491;0,335354;2,48081;24.550;-33,1116;-60
0,000492;0,331313;2,47677;24.600;-60;-60
0,000493;0,331313;2,48485;24.650;-60;-60
0,000494;0,339394;2,48081;24.700;-60;-60
0,000495;0,335354;2,48081;24.750;-60;-60
0,000496;0,335354;2,48081;24.800;-60;-60
